Kalimat
Yg sama uda dapat tiket  tunjuk tangan 
Jakarta...selokan air kok warna hitam.....
"THN 2017 COLDPLAY NOLAK KONSER DI INDO, KTNYA INDO BERMASALAH LINGKUNGAN!! SOMBONG ANJRIT!! SEKARANG KLPUN KITA ADA YG NOLAK SIH WAJAR .. EMANG KITA COWOK APAAN??? IIIIIIH !!! MENGAPA AKU BEGINI ? JANGANLAH KAU PERTANYAKAN...."
dengar lagu yelow..sayup 2 dari  radio asyik
Mantap
yang suka buang sampah plastik sembarangan jgn liat konser cold play..karena mereka mendukung kebersihan
Ada unsur-unsur politik dalam grup band coldplay
Mau konser mau tidak tidak masalah. Konser ini kan hanya membuang-buang uang saja demi kesenangan sesaat saja...
Tiket d bawah panggung berapa ya nominalnya
Konser harus bebas dari politik jangan bawa2 bendera ukraina dan lambang pelangi.
Jual lg tiket nya bisa 50 jt
Kl gk mau konser di indonesia ya gpp....gk pntg
"Kenapa konser bertaraf internasional selalu pake GBK ? bukan JIS ? 
Sudah pasti GBK memiliki standar internasional dan keamanan lebih terjaga di banding JIS. 
JIS banyak KADRUN nya, sok suci, merasa paling benar, dan jumawa. Wkwkwkkw"
"Judulnya bisa ketebak.
Kenapa Coldplay baru bisa mau datang di indonesia.
Ya sudah jelas semua adalah urusan perut "
Ga mau konser ya udh knp dibikin pusing n repot
Gk sabar
Woii ini berita HOAX dibilang Coldplay blm pernah datang sama sekali konser di Indonesia!Sya dulu sekitar tahun 1997an pernah nonton Konser pertama Coldplay di Hard Rock Cafe Sarinah Thamrin Jakarta.Sya dulu dapat tiket gratis langsung dari Artis Senior Muthia Kasim sahabatnya Melanie Subono anak promotor dari Adrian Subono.
"Gerombolan PeA mana sampe pikirannya kesana, taunya cm demo, demo dan demo "
"Ga pnting sm sekali,,,sayang uang kita di bawa ke inggris hasil dr penjualan tiket,,,,"
"Astaga coldplay itu grub band. 
Astaga mcm kdtngan apa aja. 
"
Band wakwawwww ini
Jangan sampai bawa atribut2 LGBT kalo ada yg bawa bendera pelangi rebut buang ...
Ini bukan di jis kan ya
Kok konsernya bukan di JIS yah? 
Isu lingkungan apa
takut sama Novel Bamukmin
"Ramah lingkungan gatel, ngerusak lapangan iya"
"Artis band dunia kalo umurnya dah tua,  baru mau konser di indonesia. Itu faktanya."
Konser di hutan aja biar ramah lingkungan
Hahaha pencinta pelangi pecinta pantat lki2
Klo mmng pndukung lgbt n mngkampanyekan umat islam.menolak konser konser berbalut dukungan kpd lgbt
"11 juta harga tiketnya, "
Wkwk plg batal dbales lgbt
Sudah nggak sepopuler dulu
Karena anies
"Kami trauma dengan kejadian Ambon, tolak Israel tolak Coldplay Russia selamanya ️‍️‍️‍"
Di Malaysia  di larang  karena  group  ini mendukung  lgbt
"Heran aja...personnelnya  pada tua begitu digemari, lagipula ekonomi makin susah ... bukannya usaha masukkan dolar ke negri sendiri malah buang duit."
"Anjrit sayang bgt uangnya untk nton band pendukung lgbt,,,ancoooor,,,"
Terserah.
Giliran pas lagi naii naik nya g mao ke indo hmmmmm 
"Banyak kadrun bro,sis"
Karena mrka udah tua
"Gua yakin batal sih ini konser,
Apa lagi menjelang pemilu ,banyak yg akan, cari muka, dgn isu LGBT"
gw gk peduli ma cold play mo konser mo gak
"Nonton rugi,g ada guna dan tdk ada manfaat sama sekali..buang buang waktu,g nonton malah untung,g ngilangin duit sia sia, penuh sesak ujub ujub HP raib dompet pun ikut lepas,blm lagi pas keluar konser kendaraan makin byk baret nya...lbh baik nonton diyoutube,aman sambil ngopi,salam waras min "
Untuk umat muslim klu bisa gk usah nonton.....
Sok suci org barat
Diluar udah ga laku wkwk
"Mudah2an ga jadi pentas di indonesia, band ini pendukung lgbt"
"Gak perlu datang band ini diindonesia  ,emang lingkungan apa ? Jijik saya sama band ini.."
Kaum Luth
Sok peduli lingkungan....
Nggak penting
Gay lgbt
"Lgbt,,ko datanginnnnnn ,gay gay gay"
Mantap
Band favorit semasa sd sampe sekarang 
"yang penting asal jangan bawa atribut, simbol, ataupun promosi ""tersirat"" yang berhubungan dengan LGBT itu, pasti konsernya aman, dan lancar, karena kalau hanya bernyanyi tanpa bawa embel-embel ""itu"" masyarakat indonesia juga pasti seneng, mereka jadi fans coldplay karena suka musiknya enak didenger, yakali kalo musiknya ga jelas, suaranya jelek bisa jadi terkenal, kan ga mungkin juga, paling jadi penyanyi tingkat RT"
ayo orang indonesia bisa tanpa buang sampah plastik sembarangan pas liat konser
Budaya +62 bubaran konser ya ninggalin sampah 
Geber geber mesin 2 TAK gass kan cepat pasti gagal
Gilanii
Pancasila tanpa LGBT
Band Pendukung LGBT
"Sy meyakini Kalau Coldplay itu sdh memang lambang dan genrenya beda dgn musisi yang lain...
Coldplay itu memang desain nya musik dan logonya itu mendunia kan kaum pencinta lubang tai...jadi kalau ada Masyarakat Indonesia yg mendukung penuh sampai rela benci kpd kelompok yg memang menjaga anak dan cucu kami dari hal hal yg buruk..
Bisa sy katakan mereka adalh kelopok dan golongannya meski mereka berprilaku baik tapi jiwa mereka sdh mati"
Band pendukung jeruk makan jeruk...hiiiii
Batalkan
Benci LGBT tapi cinta sama yang mengkampanyekan LGBT
mereka sudah menjadi pendukung kaum Bo'olisme masih mau nonton??zz
Wah kl pendukung lgbt gue secara pribadi menolak kehadiran mereka ke indonesia
wah Coldplay ini anggotanya ternyata bener2 humble ya.. rendah hati dan sangat² menghargai dan penuh syukur
Oh man that made my whole day! So happy for Indonesian Coldplay fans. Thank you Coldplay for still reaching out to new places. Love you Will! 
Wahh keren sih.... stay positif aja semoga konser nya bisa lancar untuk mereka dan untuk kami 
Great interview! Very happy that Indonesian fans get the chance to see the band live 
"Good question, menjalin hubungan selama itu sbg sebuah band memang butuh komitmen & pengertian yg besar. Salut sm persahabatan mrk, semoga langgeng."
Saya memang baru 10 tahun mendengarkan Coldplay. Tapi lagu lagunya luar biasa keren . Angkat topi buat Coldplay
"Thank you Coldplay, thank you Will for all the inspirational drumming!!! ️🫶️"
"The whole interview is such fun, but i really love the interviewer, she's so in it! Thank you for doing this interview!!!!"
"Semua personil humble semua termasuk,  Crismartin, pas di wawancara Matanajwa, sungguh band paforit."
Great willl!!!!!!! We love youuuu cant waittt for November in Indonesia 
Such a fun and interesting interview.
Mr. william champion ini punya vokal yg gak kalah bagus loh dngan bpak chris martin loh.  sya suka suara dia
saya mulai suka coldplay sejak lagu in my place
"kalau ada kesempatan, bukan ingin bareng nyanyi, tapi ingin ikut mukul drum bareng Will"
Semoga konser coldplay terealisasi. Kalau ngak. Nampak kali Indonesia itu mudah di provokasi dan menjadi intoleran dan keluar dari konteks. Kayak Piala Dunia U20
"Saya berharap dalam konsernya COLDPLAY di undang juga musisi sekaliber NOAH,FOURTWNTY DAN ALFFY REV untuk berkolaborasi.

Saya rasa ketiga musisi dari indonesia ini punya magicnya sendiri dari lintas generasi untuk coldplay dan dunia.

Apalagi kalau mereka bisa bikin project bersama dalam membuat karya seperti halnya coldplay & BTS.
Saya tidak bisa bayangkan betapa megahnya karya itu lahir jika mereka bisa berkolaborasi dalam satu karya bersama."
"Coldplay x boriel, bagus kayaknya kalau di coba di konser nanti"
OMG Wiiiillllll!!!!…. 
I got the Ultimate Experience tickets. See you at GBK in November 2023!! 
"Godddddd i cant waittt, btw i from Singapores, well i got the ticket in cat 2 worth 8milion rupiahs, i love you Indonesia"
semoga lancar tidak ada gangguan dari zetsu putih dan Akatsuki
"Wah, kira2 bakal ada musisi/penyanyi indo yg bakal diajak kolab gak ya? Seru tuh"
Berharap lancar konsernya gak ada tuh yang nolak nolak dan demo demo saya minta polisi dan TNI aman kan coldplay
Menurut gw will championlah otak dari seluruh lagu2 coldplay
""
"i hope we can collaborate with ""weird genius"" during a concert in indonesia"
Pasti ada yg menghalangi ada ada ja negri ini mau maju aja di halangi
""
"Kasian amat ini interview,narasumbernya ga bisa lihat Hostnya ."
Lagi seru konser tipe x. Dg Linkin Park waktu di jakarta
WTS TICKET COLDPLAY FESTIVAL - SISA 5
Jika dirimu tergoda maka jgn pernah menyalahkan yg menggoda sebab godaan itulah ujian iman yg sesungguhnya.
Jgn rusak para pemuda pemudi Indonesia yg berakhlakur karimah..
"Cepat atau lambat negara ini akan hancur terpecah belah, kalau pemerintah tidak dapat mengatasi para gerombolan kadrun pendatang Yaman"
"Yg bikin ribut tahu sendiri kan? 
Orangnya itu"" juga... 
Jika kau bikin ribut... Kau pasti bergadapan dgn aparat keamanan... 

#indonesia_harus_damai
🇮🇩"
"Sandy bersikukuh krn sedang mencari dukungan, dia siap menanggung Dosanya..."
"mending ngurusin al zaitun,panji gumilang lebih bahaya dri coldplay,malah ngurusin konser,konser mah gampang,bilang aja ga usah kibarin bendera LGBT,selesai udah,MUI aja ga becus ngurusin kasus zaitun,malah melebar kemna mana."
"Anwar abas,,bukan mewakili umat,,cumak mewakili grombolan pecundang Negara,,"
 Ya'Allah selamat kn lah anak'bangsa ini dari kejahatan kemaksiatan yg akan merusak ke pribadian nya.
Mentri pariwisata pewrarisata semoga bermanfaat bisa memilih mana yang terbaik
"DI LANJUTKAN SILAHKAN GK JUGA GPP, KARENA BERTEMAN DENGAN PARA LGBT BERARTI BELUM TENTU MENJADI LGBT, BERTEMAN DENGAN ULAMA BELUM TENTU JADI ULAMA,.... YG MANA BAIK SILAHKAN LANJUTKAN YG GK BAIK JGN KERJAKAN, NEGARA KITA JUGA BUKAN NEGARA ISLAM, JUGA MUI BUKANLAH KEPEMERINTAHAN,... MUI BOLEH BOLEH SAJA BERSUARA DEMIKIAN TETAPI PEMERINTAH JUGA BERSUARA,... DAN GK BISA DI INTERVENSI. SILAHKAN NEGARA YG AMBIL KENDALI,.... YG BAIK JALANKAN, YG GK BAIK JANGAN DI PERBUAT GITU AJA."
Moga yg demo ini ahlaknya menjadi lebih baik tpi saran saya semoga imanmu di jaga knp mmg goldplay konser yg penting terhibur bukannya mengikuti prilaku mereka. Nah saran saya jgn mabuk agama kamu.
"Pa 212 dan mui munafik kan cuma konser ya namanya cari panggung 2024 kali aja ada bohir yg modalin untuk makan dan minum mereka cocok hidup diyaman, dan afgenistan  semoga tidak terulang batalnya sepak bola u20 yg mematikan masa depan ansk bangsa dan ekonomi indonesia fipentas dunis, mana polisi sikap dan reaksimu untuk indonesia kami tunggu"
"Jgn cuma bsa melarang aja, kasih solusi, jgn cuman bisa mlerang ini lah itulah....mereka ini kampungan"
BATALKAN SAJA SEMOGA INDONESIA TETAP AMAN ADEM
""
"Kebodohan budak budak kadrun, dimanfaatkan pendatang pengungsi Yaman"
Pancasila tanpa LGBT
"Sangat setuju kalo dbatalkan,,,gk ada gunanya juga tu coodplay,,,"
Apa masalahnya..cmn konser musik aja..GK ngaruh kali... kecuali di mo tinggal disini ma rombongannya ...itu jg yg punya duit..we aja GK bkl nonton
"PA. 212 ,UDAH OMPONG, PALING 50 ORANG"
Drun..kardunn.beraninya main kroyokan.
"Apasih apa"" kok di kecam. Coba kalu musik kosidah Arab pasti welcomes. Kan cuma konser untuk  berbagi adat dan tradisi mereka di ingris"
Duh mabok agama hya ada di indonesia konder gtu aza ssmpae demo. .
Tiket sdh habis MUI mulai reaksi GAK jelas
Bubarin konser bisa..hallo itu gimana dengan al jaytun kenapa diam saja
Yang porno tidak melanggar konstitusi ?
"Ngapain sih MUI ikut-ikutan ngurusin konser, wong konsernya nggak bawa bendera kok !!"
demo2 lg dong
Keluar aslinya Munafik
Hadeeeeeeehhhh ... 🇲🇨
Geblekk bangettt
Semoga konserx batal totol aamiin
"Negara mau di bawa mundur ke jaman batu...Israel main Bola di Indonesia ga boleh,.... konser Coldplay di larang...apa negara ini milik MUI KH ?.…atau milik alumni 212 KH ?...atau milik Anwar Abas negara ini ?..."
Knopo mui......knopo anwarabbas.....
Cie2 mui sepakat sama ompong ni yee ...setali tiga uang...sama2 sok suci
"Geleuh ningali na nya , dasar belis beliss"
Kita nikmati musiknya.    dan untuk pendatang yg ngaku cucu nabi silahkan test DNA dulu sana...rakyat menunggu.
Batalkan saja
"Ompong kelasnya apa cumak kecoak ber baju agama,,sikat aja beres cumak bikin reseh,,"
Siiip batalkan aj..nanti mereka pada adu bagong di tempat umum
Gimana caranya menyantet anwar abbas ini ya. Aku tak punya
Bikin rame lagi P212 besar kepala
Si abbas   ni antek kadeuuunw
Matrek.
Tolak. Jgn. Sampai. Keblabasan. Di. Sini. Bukan. Barat
"Habib asli novel bamukmin cari gara gara aja, pa 212 harus d bumi hanguskan"
Tolak kedatangang artis dari Rusia itu  kita tidak suka artis telanjang Indonesia banyak suka artis telanjang lama lama menjadi pelacurang maksiat
Lllll
"MUI patut di ajukan jempol, tapi banyak munafik dan manusia yg tdk bertuhan yg menginginkan band iblis tsb !!!"
Kagum bangett liat konsernya stiap konser pecah bangettt 
"Behhh asumi udh 1.3 juta aja subscribe nya, padahal dahulu 2019 pertma saya subscribe Masi 200 ribuan,,
Sukses selalu buat team asumsi."
"paling suka cuma 3 album pertama (Parachutes, A Rush of Blood to the Head, X&Y), Viva La Vida oke lah.. seterusnya g terlalu"
"Untung gua ga seberapa kenal Coldplay, cuma tau lagunya satu doang yaitu fix you"
Dulu jamanya MTV yg bikin kntroversi vokalisnya di wawancarai gk mau ngmng diem aja terus temen 1 bandnya bilang suara dia mahal..tidak mau banyak bicata tkt merusak suaranya bangkee...
Apakah indonesia akan lemah atau keras menghadapi kaum pelangi
"Jujur sih lagunya asik"""
"Lagian gue gk nntn hal bginian mnding nntn timnas, 

asli cinta negeri bangga prestasi anak negeri, artinya dukung timnas Indonesia dengan bangga. 

Daripd nntn konser orang asing, malah yg kaya raya mereka2 ini."
Keren
akhir konser di indonesaia juga.
cumn tau fix you ama yellow boleh ikutan war tiket gak
"GUE PENGGEMAR KALANGAN BAWAH  DA SUKA SEJAK KECIL. COLDPLAY,KLO DIA AKTIVIS LGBTQ GUE KECEWA BANGET..."
2:35 beda ya kayak salah satu band terkenal di Indonesia he..he.he.he
lagunya mantap
Di indo tiket terlalu mahal
Beli tiketnya dimana Min??
Dan juga bandnya kagak pernah ganti personil sejak dibentuk
Semoga itu berita hoax deh karna aku adlh salah satu fans fanatiknya coldplay
Cuma ngingetin Hati2 batal konser nya..
Kenapa ga diselenggarakan di JIS saja ya ?
"Klo Aktivis LGBG ,DAJJAL KECIL.
Apalagi kalau DAJJAL Asli muncul banyak penggemar yg mengikutinya."
Pelangi 
Kirain fakta negatifnya itu loh
"Gw gak tau ada apa dengan band ini, gw hanya menikmati lagu lagunya saja tapi emang vokalisnya agak melehoy"
bakal dihadang keras kayaknya. saya kok yakin bakalan batal ya
lgbt selalu berkamuflase
"Ternyata Pemerintah tidak konsisten, kami diperintahkan untuk mengangkat kearifan budaya lokal, budaya rusak masuk juga didukung, ealaaa..."
Klo secara pribadi gak terlalu suka bahkan gak ada didalam playlist balik lagi ke selera sih
mereka sudah menjadi pendukung kaum Bo'olisme masih mau nonton??
Antara batal dan di lanjutin
woy 212 knpa al-zaytun gak di bahas?  #kacau
Penyokong LGBT
Bagaimana kondisi rumput GBK nya nanti y.. .. kmrin rusak.  Nti apa lg
Mudah mudahan gak jadi biar uang nya hangus...
"Gini kan logikanya :

- Kalau menggelar konser coldplay (yg mendukung LGBT), berarti ikutan mendukung LGBT.

- Kalau memakai teknologi internet (buatan kapir), berarti ikutan jadi kapir. 

LOGIKA JENIUS...!! "
Batal..!! Ngabis2sin uang rakyat aja
"Kalau sampai PA 212 menggagalkan konser coldplay , mampus aja mendingan , harus AHOK BTP jadi cawapres 2024 mendampingi ANIES BASWEDAN capres 2024 !"
"Band warna pelangi, hati2."
Mrk pendukung LGBT..??
Akhirx di bahas
fomo jir
LGBT
